Date,Bitcoin - Price ($),
2024/8/12,58593.78202,
2024/8/19,61805.70896,5.4817%
2024/8/26,59470.03169,-3.7791%
2024/9/2,56228.60339,-5.4505%
2024/9/9,58571.53219,4.1668%
2024/9/16,61864.18901,5.6216%
2024/9/23,64761.80526,4.6838%
2024/9/30,61786.5872,-4.5941%
2024/10/7,61956.37093,0.2748%
2024/10/14,67686.45485,9.2486%
2024/10/21,67312.33004,-0.5527%
2024/10/28,70406.37512,4.5966%
2024/11/4,74626.25935,5.9936%
2024/11/11,89456.21921,19.8723%
2024/11/18,95733.61603,7.0173%
2024/11/25,95408.20073,-0.3399%
2024/12/2,98419.82718,3.1566%
2024/12/9,100366.9757,1.9784%
2024/12/16,100043.4977,-0.3223%
2024/12/23,95934.84368,-4.1069%
2024/12/30,96011.01926,0.0794%
2025/1/6,95760.77613,-0.2606%
2025/1/13,100165.5436,4.5998%
2025/1/20,103981.6818,3.8098%
2025/1/27,101771.0819,-2.1260%
2025/2/3,97495.55401,-4.2011%
2025/2/10,96963.65617,-0.5456%
2025/2/17,96462.57291,-0.5168%
2025/2/24,87638.6409,-9.1475%
2025/3/3,86815.49423,-0.9393%
2025/3/10,82505.74464,-4.9643%
2025/3/17,84504.60448,2.4227%
2025/3/24,85490.20908,1.1663%
2025/3/31,82728.7811,-3.2301%
2025/4/7,81438.87369,-1.5592%
2025/4/14,84550.03015,3.8202%
2025/4/21,93104.71366,10.1179%
2025/4/28,95293.53164,2.3509%
2025/5/5,100471.9438,5.4342%
2025/5/12,103880.5193,3.3926%
2025/5/19,108221.7427,4.1791%
2025/5/26,106634.0294,-1.4671%
2025/6/2,104795.1898,-1.7244%
2025/6/9,107459.4967,2.5424%
2025/6/16,103817.614,-3.3891%
2025/6/23,106931.0506,2.9989%
2025/6/30,108092.3437,1.0860%
2025/7/7,114081.2327,5.5405%
