DAO,Total Proposals,Avg Weekly Proposals,Avg Voters (Last 10 Proposals)
arbitrumfoundation.eth,382,3.17,2715.3
bitdao.eth,33,0.19,5351.9
ens.eth,84,0.38,137.4
opcollective.eth,93,3.01,34240.2
cow.eth,70,0.41,82.7
balancer.eth,1000,3.85,5.5
origingov.eth,128,0.63,8.2
1inch.eth,84,0.4,40.9
aavedao.eth,860,3.4,180.2
lido-snapshot.eth,373,1.63,87.8
gmx.eth,61,0.32,392.3
synthetix-stakers-poll.eth,5,17.5,9.4
radiantcapital.eth,55,0.38,285.1
dydxgov.eth,63,0.49,0.3
gitcoindao.eth,170,0.79,998.2
klimadao.eth,65,0.46,255.6
kernelgov.eth,5,0.26,30.6
paragonsdao.eth,28,0.18,36.7
stakedao.eth,123,0.55,12.2
zora.eth,2,0.09,3683.5
